Gear,Description,Category
-1,Station could not be sampled for any parameters - IMAP data only,No gear
0,No Set,No gear
1,6.1 seine w/o bag, 3.1mm mesh.
10,21.3m center-bag seine, 3.1mm mesh
100,21.3m terminal-bag seine, 300mm lead spacing
101,21.3m terminal-bag seine, 300mm lead spacing
102,21.3m terminal-bag seine,150mm lead spacing
103,21.3m terminal-bag seine, 150mm lead spacing
104,21.3m center-bag seine, 150mm lead spacing
105,21.3m center-bag seine, 150mm lead spacing
106,21.3m terminal-bag seine, offshore-circular set in association with 1m2 dropnets.
107,21.3m center-bag seine, 3.1mm mesh. 150mm lead spacing
11,21.3m center-bag seine, 3.1mm mesh
12,21.3m center-bag seine, 3.1mm mesh
13,21.3m terminal-bag seine, 3.1mm mesh
148,30.5-m center bag seine, 6.3-mm mesh
150,61m seine, used as a drag seine on poles and deployed from a boat
151,122m pull through seine, 3.1mm mesh
152,122m purse seine, 3.1mm mesh
153,61m blocknet, 300mm lead spacing. Used in association with mangroves.
154,61m blocknet, 300mm lead spacing.  Used in association with seawall.
155,183m center-bag seine 25.4mm stretch mesh  (12.7mm bar mesh), 150mm lead spacing
156,30m center-bag seine 6.25mm stretch mesh, set from skiff onshore (boat set).Similar to McMichael & Peters net.
157,183m center-bag seine 25.4mm stretch mesh (12.7mm bar mesh), 150mm lead spacing.  Net set from skiff in a semicircular pattern on shore in water depth < 0.1 m.
158,183m center-bag seine 25.4mm stretch mesh (12.7mm bar mesh), 150mm lead spacing.  Net set from skiff in a semicircular pattern on shore in water depth > 0.1 m.
159,183m center-bag seine 25.4mm stretch mesh (12.7mm bar mesh), 150mm lead spacing.  Net set from skiff in a circular pattern on shore in water depth > 0.1 m.
160,183m center-bag seine, green dipped
161,183m center-bag seine, green dipped
162,183m center-bag seine, green dipped
170,183m terminal bag purse seine, 51mm stretch mesh (25.5mm bar mesh) with 305-mm lead spacing and 457-mm float spacing.  Wing depth is 5.2-m and bag depth is 7.6-m.
180,61m center-bag seine, 3.7m deep
